NumberOfBHK,Price,Transaction,BuiltUpArea,Availability,PostedDate,PostedBy,ReraApproved,AreaName
2,60 Lakhs,New Property,1068 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Thanisandra, Bangalore"
3,1.60 Crore,New Property,1600 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Yeshwanthpur, Bangalore"
3,1.04 Crore,New Property,1600 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Sarjapur Road, Bangalore"
3,98.06 Lakh,New Property,1164 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Begur, Bangalore"
3,83.23 Lakh,New Property,1365 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Electronic City Phase I, Bangalore"
2,28.99 Lakh,New Property,772 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Sarjapur Attibele Road, Bangalore"
2,95.99 Lakh,New Property,1288 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Old Madras Road, Bangalore"
4,1.24 Crore,New Property,1885 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Uttarahalli, Bangalore"
2,76 Lakhs,New Property,1360 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Devanahalli, Bangalore"
1,49.22 Lakh,New Property,780 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Devanahalli, Bangalore"
1,41.74 Lakh,New Property,600 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Off Sarjapur road, Bangalore"
3,86.62 Lakh,Resale,1500 Sq.Ft.,Ready To Move,09-Dec-2024,Broker,No," RT Nagar, Bangalore"
4,3.70 Crore,Resale,4895 Sq.Ft.,Ready To Move,09-Dec-2024,Broker,No," Rachenahalli, Bangalore"
4,3.99 Crore,New Property,3672 Sq.Ft.,Ready To Move,10-Dec-2024,Broker,Yes," Bidrahalli, Bangalore"
3,1.20 Crore,New Property,1550 Sq.Ft.,Ready To Move,24-Dec-2024,Broker,No," Devanahalli, Bangalore"
2,55 Lakhs,Resale,1438 Sq.Ft.,Ready To Move,24-Dec-2024,Broker,No," KR Puram, Bangalore"
2,1.21 Crore,Resale,1260 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Tumkur Road, Bangalore"
2,58 Lakhs,New Property,1005 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Kogilu, Bangalore"
2,47.68 Lakh,New Property,1192 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Hosa Road, Bangalore"
3,49.15 Lakh,New Property,1536 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Sompura, Bangalore"
2,83.89 Lakh,New Property,959 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Kanakapura Road, Bangalore"
3,1.69 Crore,New Property,1749 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Mysore Road, Bangalore"
3,82.32 Lakh,New Property,1273 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Devanahalli, Bangalore"
3,2.20 Crore,New Property,1603 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Kanakapura Road, Bangalore"
2,1.26 Crore,New Property,1260 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Yeshwanthpur, Bangalore"
2,85 Lakhs,New Property,1225 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Sarjapur Road, Bangalore"
2,37 Lakhs,New Property,800 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Chandapura, Bangalore"
3,1.65 Crore,New Property,1850 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Whitefield, Bangalore"
2,90 Lakhs,New Property,1006 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Whitefield, Bangalore"
2,1.28 Crore,New Property,1280 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Yeshwanthpur, Bangalore"
3,1.46 Crore,New Property,1809 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Sarjapur Road, Bangalore"
2,36.50 Lakh,New Property,859 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Devanahalli, Bangalore"
3,2.45 Crore,Resale,1588 Sq.Ft.,Ready To Move,21-Dec-2024,Broker,No," Kanakapura Road, Bangalore"
2,96.85 Lakh,New Property,1030 Sq.Ft.,Ready To Move,20-Dec-2024,Broker,No," Sarjapur Road, Bangalore"
3,2.50 Crore,New Property,1755 Sq.Ft.,Ready To Move,20-Dec-2024,Broker,No," Whitefield, Bangalore"
2,94.62 Lakh,Resale,1005 Sq.Ft.,Ready To Move,20-Dec-2024,Broker,No," Sarjapur Road, Bangalore"
2,98.87 Lakh,New Property,1053 Sq.Ft.,Ready To Move,23-Dec-2024,Broker,No," Kempapura Agrahara, Bangalore"
3,69.46 Lakh,New Property,1263 Sq.Ft.,Ready To Move,20-Dec-2024,Broker,No," Bommanahalli, Bangalore."
3,1.49 Crore,New Property,1466 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Nallurhalli, Bangalore"
1,28.01 Lakh,New Property,596 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Sarjapur Road, Bangalore"
3,56.52 Lakh,New Property,1256 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Chandapura, Bangalore"
3,1.42 Crore,New Property,1581 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Uttarahalli, Bangalore"
2,62.99 Lakh,New Property,998 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Sarjapur Road, Bangalore"
3,3 Crores,Resale,2500 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Devanahalli, Bangalore"
3,1.92 Crore,Resale,1639 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Whitefield, Bangalore"
2,66.30 Lakh,New Property,874 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Uttarahalli, Bangalore"
3,2 Crores,Resale,2033 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Hennur Road, Bangalore"
2,78 Lakhs,Resale,1235 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Raja Rajeshwari Nagar, Bangalore"
2,57.89 Lakh,New Property,1412 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Off Sarjapur road, Bangalore"
2,1.28 Crore,New Property,1349 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Yelahanka New Town, Bangalore"
2,54.45 Lakh,New Property,1089 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Whitefield, Bangalore"
3,1.18 Crore,New Property,1281 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Kanakapura Road, Bangalore"
1,41.65 Lakh,New Property,660 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Devanahalli, Bangalore"
3,1.90 Crore,New Property,1647 Sq.Ft.,Ready To Move,24-Dec-2024,Broker,No," Whitefield, Bangalore"
2,65.70 Lakh,Resale,998 Sq.Ft.,Ready To Move,20-Dec-2024,Broker,No," Devanahalli, Bangalore"
4+,4.50 Crore,New Property,4069 Sq.Ft.,Ready To Move,24-Dec-2024,Broker,No," Devanahalli, Bangalore"
2,74.76 Lakh,Resale,1558 Sq.Ft.,Ready To Move,24-Dec-2024,Broker,No," Parappana Agrahara, Bangalore"
4+,5.80 Crore,New Property,4498 Sq.Ft.,Ready To Move,21-Dec-2024,Broker,No," Kanakapura Road, Bangalore"
3,4.65 Crore,New Property,3520 Sq.Ft.,Ready To Move,20-Dec-2024,Broker,No," Hebbal, Bangalore"
2,59.09 Lakh,New Property,1180 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Electronic City, Bangalore"
3,1.06 Crore,New Property,1530 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Haralur Road, Bangalore"
3,63 Lakhs,New Property,1560 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Chandapura, Bangalore"
3,3.65 Crore,New Property,2388 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Hebbal, Bangalore"
3,1.24 Crore,New Property,1200 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Varthur, Bangalore"
2,55 Lakhs,New Property,1056 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Mysore Road, Bangalore"
2,78 Lakhs,New Property,989 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Devanahalli, Bangalore"
2,1.05 Crore,New Property,1062 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," International Airport Road, Bangalore"
1,84 Lakhs,Resale,782 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Whitefield, Bangalore"
3,1.34 Crore,New Property,1570 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Devanahalli, Bangalore"
2,1.10 Crore,New Property,1255 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Off Sarjapur road, Bangalore"
1,56 Lakhs,New Property,850 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Gunjur, Bangalore"
3,2.05 Crore,New Property,1705 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Bannerghatta Road, Bangalore"
2,1.65 Crore,New Property,1200 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Victoria Layout, Bangalore"
3,1.28 Crore,New Property,1200 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Varthur, Bangalore"
2,98.87 Lakh,New Property,1053 Sq.Ft.,Ready To Move,23-Dec-2024,Broker,No," Kempapura Agrahara, Bangalore"
3,1.80 Crore,New Property,1748 Sq.Ft.,Ready To Move,17-Dec-2024,Broker,No," Kanakapura Road, Bangalore"
4+,4.20 Crore,Resale,4235 Sq.Ft.,Ready To Move,19-Dec-2024,Broker,No," Off Sarjapur road, Bangalore"
3,2.20 Crore,Resale,1779 Sq.Ft.,Ready To Move,20-Dec-2024,Broker,No," Sarjapur Road, Bangalore"
3,1.26 Crore,Resale,1365 Sq.Ft.,Ready To Move,20-Dec-2024,Broker,No," Sarjapur Road, Bangalore"
2,75 Lakhs,Resale,900 Sq.Ft.,Ready To Move,21-Dec-2024,Broker,No," Kanakapura Road, Bangalore"
3,1.28 Crore,New Property,1200 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Varthur, Bangalore"
3,1.39 Crore,New Property,1633 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Tumkur Road, Bangalore"
3,56.52 Lakh,New Property,1256 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Chandapura, Bangalore"
3,1.49 Crore,New Property,1466 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Nallurhalli, Bangalore"
1,28.01 Lakh,New Property,596 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Sarjapur Road, Bangalore"
3,1.42 Crore,New Property,1581 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Uttarahalli, Bangalore"
2,62.99 Lakh,New Property,998 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Sarjapur Road, Bangalore"
3,3 Crores,Resale,2500 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Devanahalli, Bangalore"
3,3 Crores,Resale,2245 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Kanakapura Road, Bangalore"
3,2.50 Crore,New Property,1800 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Whitefield, Bangalore"
3,2.19 Crore,New Property,1728 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Chikkavaderapura, Bangalore"
2,66.30 Lakh,New Property,874 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Uttarahalli, Bangalore"
3,1.50 Crore,New Property,1500 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Raja Rajeshwari Nagar, Bangalore"
2,78 Lakhs,Resale,1235 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Raja Rajeshwari Nagar, Bangalore"
2,57.89 Lakh,New Property,1412 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Off Sarjapur road, Bangalore"
3,2.30 Crore,Resale,1583 Sq.Ft.,Ready To Move,17-Dec-2024,Broker,No," Whitefield, Bangalore"
3,2.12 Crore,Resale,1737 Sq.Ft.,Ready To Move,24-Dec-2024,Broker,No," Mysore Road, Bangalore"
4,4.45 Crore,Resale,4138 Sq.Ft.,Ready To Move,19-Dec-2024,Broker,No," Devanahalli, Bangalore"
3,4.35 Crore,New Property,2430 Sq.Ft.,Ready To Move,20-Dec-2024,Broker,No," Whitefield, Bangalore"
4+,5.90 Crore,New Property,3300 Sq.Ft.,Ready To Move,18-Dec-2024,Broker,No," Marathahalli, Bangalore"
3,2.80 Crore,Resale,1800 Sq.Ft.,Ready To Move,20-Dec-2024,Broker,No," Kanakapura Road, Bangalore"
2,1.40 Crore,New Property,971 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Sarjapur, Bangalore"
2,42 Lakhs,New Property,1240 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Chandapura Anekal Road, Bangalore"
3,94 Lakhs,Resale,1300 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Banashankari, Bangalore"
3,91.65 Lakh,New Property,1950 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Chandapura, Bangalore"
2,56 Lakhs,New Property,900 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Sarjapur, Bangalore"
3,4.44 Crore,Resale,2570 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Whitefield, Bangalore"
2,1.60 Crore,Resale,1309 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Off Sarjapur road, Bangalore"
2,1.17 Crore,New Property,1512 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Uttarahalli, Bangalore."
3,1.37 Crore,New Property,1758 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Uttarahalli, Bangalore."
4+,5.30 Crore,Resale,3421 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Devanahalli, Bangalore"
1,48.99 Lakh,New Property,517 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Kanakapura Road, Bangalore."
4+,5 Crores,Resale,4200 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Devanahalli, Bangalore"
3,58.05 Lakh,New Property,1350 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Jigani, Bangalore."
3,65.59 Lakh,New Property,1245 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Whitefield, Bangalore."
1,20.48 Lakh,New Property,565 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Sarjapur, Bangalore."
2,1 Crore,Resale,1200 Sq.Ft.,Ready To Move,17-Dec-2024,Broker,No," Whitefield, Bangalore"
3,1.41 Crore,Resale,1545 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Tumkur Road, Bangalore"
3,75.51 Lakh,New Property,1520 Sq.Ft.,Ready To Move,17-Dec-2024,Broker,No," Electronic City, Bangalore"
3,4 Crores,New Property,2250 Sq.Ft.,Ready To Move,18-Dec-2024,Broker,No," Whitefield, Bangalore"
3,2.60 Crore,New Property,1857 Sq.Ft.,Ready To Move,20-Dec-2024,Broker,No," Bellandur, Bangalore"
3,1.25 Crore,New Property,1736 Sq.Ft.,Ready To Move,17-Dec-2024,Broker,No," Hebbal, Bangalore"
2,77 Lakhs,New Property,1159 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No, Thanisandra Ma
3,1.29 Crore,New Property,1474 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Gunjur, Bangalore"
3,73 Lakhs,New Property,1360 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Sarjapur Road, Bangalore"
1,43.83 Lakh,New Property,548 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Whitefield, Bangalore"
2,1.40 Crore,New Property,971 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Sarjapur, Bangalore"
3,94 Lakhs,Resale,1300 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Banashankari, Bangalore"
4+,4.75 Crore,New Property,2555 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Whitefield, Bangalore"
3,1.25 Crore,Resale,1254 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Kanakapura Road, Bangalore"
3,4.44 Crore,Resale,2570 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Whitefield, Bangalore"
3,91.65 Lakh,New Property,1950 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Chandapura, Bangalore"
2,1.60 Crore,Resale,1309 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Off Sarjapur road, Bangalore"
2,56 Lakhs,New Property,900 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Sarjapur, Bangalore"
3,39.88 Lakh,New Property,867 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Chandapura, Bangalore."
2,28.42 Lakh,New Property,618 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Chandapura, Bangalore."
2,83.32 Lakh,New Property,1291 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Sarjapur Road, Bangalore."
3,1.37 Crore,New Property,1490 Sq.Ft.,Ready To Move,23-Dec-2024,Broker,No," Sevashrama, Bangalore"
2,1.41 Crore,New Property,1223 Sq.Ft.,Ready To Move,24-Dec-2024,Broker,No," Mysore Road, Bangalore"
2,80 Lakhs,Resale,1200 Sq.Ft.,Ready To Move,21-Dec-2024,Broker,No," Marathahalli, Bangalore"
2,1.75 Crore,Resale,1281 Sq.Ft.,Ready To Move,24-Dec-2024,Broker,No," Bellandur, Bangalore"
2,1.19 Crore,New Property,1280 Sq.Ft.,Ready To Move,20-Dec-2024,Broker,No," Sarjapur Road, Bangalore"
2,1.46 Crore,Resale,1240 Sq.Ft.,Ready To Move,24-Dec-2024,Broker,No," Yeshwanthpur, Bangalore"
2,55.54 Lakh,New Property,1180 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Akshayanagar, Bangalore"
2,77 Lakhs,New Property,974 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Bagaluru, Bangalore"
2,96.47 Lakh,New Property,1171 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Nagavara, Bangalore"
2,73.81 Lakh,New Property,1210 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Off Sarjapur road, Bangalore"
3,1.21 Crore,New Property,1677 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Thanisandra, Bangalore"
2,1.04 Crore,New Property,1176 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Akshayanagar, Bangalore"
2,90.08 Lakh,New Property,1039 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Off Sarjapur road, Bangalore"
3,1.09 Crore,New Property,1465 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Horamavu, Bangalore"
3,1.02 Crore,New Property,1374 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Whitefield, Bangalore"
3,81.68 Lakh,New Property,1530 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Electronic City, Bangalore"
2,67.08 Lakh,New Property,1177 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Yelahanka, Bangalore"
2,58.32 Lakh,New Property,1080 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," JP Nagar 7th Phase, Bangalore"
3,1.13 Crore,New Property,1726 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Hosa Road, Bangalore"
2,72 Lakhs,New Property,1165 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Electronic City Phase II, Bangalore"
3,1.08 Crore,New Property,1360 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Mysore Road, Bangalore"
3,5.35 Crore,New Property,2500 Sq.Ft.,Ready To Move,19-Dec-2024,Broker,No," Indira Nagar, Bangalore"
3,89.37 Lakh,New Property,1375 Sq.Ft.,Ready To Move,17-Dec-2024,Broker,No," Kanakapura Road, Bangalore"
2,99 Lakhs,Resale,1030 Sq.Ft.,Ready To Move,21-Dec-2024,Broker,No," Kanakapura Road, Bangalore"
2,94 Lakhs,New Property,1040 Sq.Ft.,Ready To Move,20-Dec-2024,Broker,No," Kanakapura Road, Bangalore"
3,1.55 Crore,Resale,1714 Sq.Ft.,Ready To Move,17-Dec-2024,Broker,No," Kanakapura Road, Bangalore"
3,2.30 Crore,Resale,1622 Sq.Ft.,Ready To Move,17-Dec-2024,Broker,No," Sarjapur Road, Bangalore"
2,1.60 Crore,New Property,1404 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Electronic City Phase I, Bangalore"
2,86.27 Lakh,New Property,1105 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Whitefield, Bangalore."
3,1.15 Crore,New Property,1498 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Whitefield, Bangalore."
1,53.34 Lakh,New Property,660 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Whitefield, Bangalore."
2,85.60 Lakh,New Property,1096 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Whitefield, Bangalore."
3,1.16 Crore,New Property,1618 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Thanisandra, Bangalore."
3,1.08 Crore,New Property,1511 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Thanisandra, Bangalore."
3,87.28 Lakh,New Property,1405 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Whitefield, Bangalore."
2,1.17 Crore,New Property,1266 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Whitefield, Bangalore."
3,60.24 Lakh,New Property,1029 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Hennur Road, Bangalore."
2,1.27 Crore,New Property,1280 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Old Madras Road, Bangalore"
3,3 Crores,New Property,2400 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," BTM Layout, Bangalore"
3,1.25 Crore,New Property,1595 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Whitefield, Bangalore."
3,2.80 Crore,New Property,1444 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Whitefield, Bangalore"
3,1.46 Crore,New Property,1475 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Kanakapura Road, Bangalore"
4,3.20 Crore,Resale,3040 Sq.Ft.,Ready To Move,17-Dec-2024,Broker,No," Whitefield, Bangalore"
3,1.19 Crore,New Property,1558 Sq.Ft.,Ready To Move,23-Dec-2024,Broker,No," Jyotipuram, Bangalore"
3,1.79 Crore,New Property,1496 Sq.Ft.,Ready To Move,17-Dec-2024,Broker,No," Sarjapur Road, Bangalore"
3,1.80 Crore,Resale,2565 Sq.Ft.,Ready To Move,20-Dec-2024,Broker,No," Rachenahalli, Bangalore"
3,1.03 Crore,New Property,1505 Sq.Ft.,Ready To Move,17-Dec-2024,Broker,No," Electronic City Phase II, Bangalore"
2,1.10 Crore,New Property,1185 Sq.Ft.,Ready To Move,20-Dec-2024,Broker,No," Sarjapur Road, Bangalore"
4+,4.20 Crore,New Property,2892 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Banashankari, Bangalore"
3,2.25 Crore,New Property,1895 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Koramangala, Bangalore"
3,3.35 Crore,Resale,2316 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Banaswadi, Bangalore"
2,1.26 Crore,New Property,1324 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Yelahanka New Town, Bangalore"
2,79.40 Lakh,New Property,880 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Whitefield, Bangalore"
2,84.62 Lakh,New Property,1099 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Nagavara, Bangalore"
2,98 Lakhs,New Property,1200 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Yelahanka, Bangalore"
3,1.76 Crore,New Property,1950 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Devanahalli, Bangalore"
2,1.89 Crore,New Property,1521 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," JP Nagar, Bangalore"
3,1.22 Crore,New Property,1280 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Kanakapura Road, Bangalore"
1,26.72 Lakh,New Property,514 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Devanahalli, Bangalore"
2,1.19 Crore,New Property,1320 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Devanahalli, Bangalore"
3,1.46 Crore,New Property,1675 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Yelahanka, Bangalore"
2,86 Lakhs,New Property,910 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Kanakapura Road, Bangalore"
2,1.10 Crore,New Property,1109 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Kaggadasapura, Bangalore"
1,17.80 Lakh,Resale,550 Sq.Ft.,Ready To Move,13-Dec-2024,Broker,No," Electronic City Phase I, Bangalore"
2,81.39 Lakh,Resale,1342 Sq.Ft.,Ready To Move,13-Dec-2024,Broker,No," Whitefield, Bangalore"
2,85 Lakhs,Resale,994 Sq.Ft.,Ready To Move,23-Dec-2024,Broker,No," Raghavendra Colony, Bangalore"
3,1.75 Crore,New Property,1573 Sq.Ft.,Ready To Move,23-Dec-2024,Broker,No," Doddaballapur Road, Bangalore"
3,1.10 Crore,New Property,1619 Sq.Ft.,Ready To Move,17-Dec-2024,Broker,No," Kanakapura Road, Bangalore"
3,2.25 Crore,New Property,3236 Sq.Ft.,Ready To Move,23-Dec-2024,Broker,No," Devanahalli, Bangalore"
3,1.31 Crore,New Property,1846 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Banashankari 3rd Stage, Bangalore"
2,1.29 Crore,New Property,1295 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Yeshwanthpur, Bangalore"
3,83.23 Lakh,New Property,1365 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Electronic City Phase I, Bangalore"
2,1.07 Crore,New Property,1318 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Sarjapur Road, Bangalore"
2,60 Lakhs,New Property,1068 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Thanisandra, Bangalore"
3,1.60 Crore,New Property,1600 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Yeshwanthpur, Bangalore"
1,95 Lakhs,New Property,650 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Banashankari, Bangalore"
2,69.70 Lakh,New Property,1070 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Sarjapur Road, Bangalore"
2,95.99 Lakh,New Property,1288 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Old Madras Road, Bangalore"
4,1.24 Crore,New Property,1885 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Uttarahalli, Bangalore"
2,76 Lakhs,New Property,1360 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Devanahalli, Bangalore"
2,36.80 Lakh,New Property,866 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Devanahalli, Bangalore"
3,1.04 Crore,New Property,1600 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Sarjapur Road, Bangalore"
3,98.06 Lakh,New Property,1164 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Begur, Bangalore"
2,75.40 Lakh,New Property,1300 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Raja Rajeshwari Nagar, Bangalore"
