NumberOfBHK,Price,Transaction,BuiltUpArea,Availability,PostedDate,PostedBy,ReraApproved,AreaName
2,1.21 Crore,New Property,1470 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,Yes," Haralur Road, Bangalore"
4,4.36 Crore,New Property,3647 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,Yes," Whitefield, Bangalore"
2,69.99 Lakh,Resale,1080 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Jalahalli West, Bangalore"
2,82.45 Lakh,Resale,1386 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Electronic City Phase I, Bangalore"
2,25.63 Lakh,Resale,741 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Hoskote, Bangalore"
3,91.17 Lakh,Resale,1395 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,Yes," Electronic City Phase II, Bangalore"
4,9.37 Crore,New Property,5246 Sq.Ft.,Ready To Move,07-Dec-2024,Broker,Yes," Hebbal, Bangalore"
4,6.38 Crore,New Property,4872 Sq.Ft.,Ready To Move,10-Dec-2024,Broker,Yes," Kundalahalli, Bangalore"
4,5.29 Crore,New Property,5263 Sq.Ft.,Ready To Move,07-Dec-2024,Broker,Yes," Jakkur, Bangalore"
3,2.61 Crore,New Property,2104 Sq.Ft.,Ready To Move,10-Dec-2024,Broker,Yes," Sarjapur Road, Bangalore"
1,55 Lakhs,New Property,632 Sq.Ft.,Ready To Move,07-Dec-2024,Broker,Yes," Rayasandra, Bangalore"
3,63 Lakhs,Resale,1835 Sq.Ft.,Ready To Move,09-Dec-2024,Broker,No," Narayanapura, Bangalore"
3,66.35 Lakh,Resale,1252 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Electronic City Phase II, Bangalore"
3,54.01 Lakh,Resale,1385 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Whitefield, Bangalore"
4,1.87 Crore,Resale,2610 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Varthur, Bangalore"
2,38.44 Lakh,New Property,1240 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,Yes," Chandapura Anekal Road, Bangalore"
2,99 Lakhs,Resale,1290 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,Yes," Sarjapur Road, Bangalore"
3,1.69 Crore,Resale,2170 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Whitefield, Bangalore"
4,2.70 Crore,Resale,2600 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Marathahalli, Bangalore"
2,67.02 Lakh,Resale,1117 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,Yes," Mysore Road, Bangalore"
2,71.50 Lakh,Resale,1375 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,Yes," Electronic City, Bangalore"
2,80 Lakhs,Resale,1019 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,Yes," Kanakapura Road, Bangalore"
2,1.21 Crore,New Property,1470 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,Yes," Haralur Road, Bangalore"
3,1.47 Crore,New Property,1490 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,Yes," Vijaya Nagar, Bangalore"
3,1.18 Crore,New Property,1281 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,Yes," Kanakapura Road, Bangalore"
3,1.25 Crore,New Property,1254 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,Yes," Kanakapura Road, Bangalore"
