,NumberOfBHK,Price,Transaction,Availability,PostedBy,ReraApproved,AreaName,BuiltUpArea_sqft
160,2,3065000,New Property,Ready To Move,Broker,No, Hoskote,929
161,3,6024000,New Property,Ready To Move,Broker,No, Hennur Road,965
162,2,4207000,New Property,Ready To Move,Broker,No, Devanahalli,990
163,2,6879000,New Property,Ready To Move,Broker,No, Raja Rajeshwari Nagar,1166
164,2,4595000,New Property,Ready To Move,Broker,No, Mysore Road,802
165,3,7208000,New Property,Ready To Move,Broker,No, Kengeri,1360
166,2,4032000,New Property,Ready To Move,Broker,No, Kanakapura Road,1120
167,3,4041000,New Property,Ready To Move,Broker,No, Electronic City Phase I,1347
168,2,10400000,New Property,Ready To Move,Broker,Yes, Electronic City,1330
169,3,11700000,New Property,Ready To Move,Broker,Yes, Vijaya Nagar,1186
170,2,10400000,New Property,Ready To Move,Broker,Yes, Vijaya Nagar,1045
171,2,7867000,Resale,Ready To Move,Broker,No, Banashankari,1180
172,2,6000000,New Property,Ready To Move,Broker,No, Bagaluru,950
173,3,23200000,Resale,Ready To Move,Broker,No, Kanakapura Road,3138
174,1,5275000,New Property,Ready To Move,Broker,No, Kanakapura Road,605
175,3,10500000,New Property,Ready To Move,Broker,No, Electronic City Phase II,1570
176,3,18000000,New Property,Ready To Move,Broker,No, Whitefield,1839
177,3,12000000,New Property,Ready To Move,Broker,No, Raja Rajeshwari Nagar,1890
178,3,13800000,New Property,Ready To Move,Broker,No, Whitefield,1700
179,2,9500000,New Property,Ready To Move,Broker,No, Budigere,1087
180,2,8056000,New Property,Ready To Move,Broker,No, Bellandur,1230
181,1,3999000,New Property,Ready To Move,Broker,No, Kanakapura Road,517
182,3,13500000,New Property,Ready To Move,Broker,No, Uttarahalli,1498
183,2,3400000,New Property,Ready To Move,Broker,No, Electronic City Phase I,900
184,2,2904000,New Property,Ready To Move,Broker,No, Sarjapur,968
185,3,7443000,New Property,Ready To Move,Broker,No, Hoskote,1800
186,1,5044000,New Property,Ready To Move,Broker,No, Kanakapura Road,554
187,2,10500000,New Property,Ready To Move,Broker,No, International Airport Road,1064
188,2,10000000,New Property,Ready To Move,Broker,No, Thanisandra,997
189,4,73900000,New Property,Ready To Move,Broker,Yes, Jayanagar,4466
190,3,21100000,Resale,Ready To Move,Broker,Yes, Sarjapur,2070
191,2,12600000,New Property,Ready To Move,Broker,Yes, Whitefield,1535
192,2,6702000,Resale,Ready To Move,Broker,Yes, Mysore Road,1117
193,4,41600000,New Property,Ready To Move,Broker,Yes, Whitefield,3540
194,2,7880000,Resale,Ready To Move,Broker,Yes, Jakkur,1022
195,3,7985000,New Property,Ready To Move,Broker,No, Hennur Road,1580
196,1,4954000,New Property,Ready To Move,Broker,No, Sarjapur Road,833
197,3,13500000,New Property,Ready To Move,Broker,No, Sarjapur Road,1490
198,3,14000000,New Property,Ready To Move,Broker,No, Varthur,1880
199,2,8999000,New Property,Ready To Move,Broker,No, Sarjapur Road,1110
200,3,9642000,New Property,Ready To Move,Broker,No, Thanisandra,1330
201,2,10100000,New Property,Ready To Move,Broker,No, Bannerghatta Road,1402
202,2,5500000,New Property,Ready To Move,Broker,No, Chandapura,1236
203,2,17000000,Resale,Ready To Move,Broker,No, Whitefield,1173
204,2,8067000,Resale,Ready To Move,Broker,No, Electronic City Phase II,1117
205,2,8390000,Resale,Ready To Move,Broker,No, Electronic City Phase II,1165
206,2,4600000,New Property,Ready To Move,Broker,No, Electronic City,1125
207,3,8635000,New Property,Ready To Move,Broker,No, Raja Rajeshwari Nagar,1570
208,3,4257000,New Property,Ready To Move,Broker,No, Mysore Road,1160
209,2,3000000,Resale,Ready To Move,Broker,No, Doddaballapur Road,907
210,3,16000000,New Property,Ready To Move,Broker,Yes, Whitefield,1399
211,2,12000000,New Property,Ready To Move,Broker,Yes, Kanakapura Road,1260
212,2,3844000,New Property,Ready To Move,Broker,Yes, Chandapura Anekal Road,1240
213,2,10200000,Resale,Ready To Move,Broker,No, Varthur,1425
214,3,40200000,New Property,Ready To Move,Broker,Yes, Jayanagar,2554
215,4,24900000,New Property,Ready To Move,Broker,Yes, Whitefield,2428
216,3,9990000,New Property,Ready To Move,Broker,No, Electronic City,1555
